delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,11,5,137,3,569.3760188003071,,569.3625824004412,569.3760188003071,570.3764618001878,570.3764618001878,570.3764618001878,571.1253027003258,space,0.732128799892962,None,571.1261377003975,571.226158166832,571.538612600416,571.523580300156,571.5236238003708,571.538612600416,571.538612600416,571.538612600416,572.9452679003589,100,1,[1.4191431999206543],[1.4191556996665895],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,11,6,138,10,572.9593123001978,,572.9465613001958,572.9593123001978,573.9597610002384,573.9597610002384,573.9597610002384,580.6281153000891,space,6.652212200220674,None,580.6291614002548,581.0424971669602,581.3470688001253,581.3332737004384,581.3333088001236,581.3470688001253,581.3470688001253,581.3470688001253,585.6280060000718,200,1,[4.292295600287616],[4.292311100289226],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,11,7,139,11,585.6421759002842,,585.6299037002027,585.6421759002842,586.6423306004144,586.6423306004144,586.6423306004144,588.2942439001054,space,1.6465332000516355,None,588.2952344003133,589.0087578669811,589.3187365001068,589.3036078000441,589.3036558004096,589.3187365001068,589.3187365001068,589.3187365001068,590.8611819003709,400,1,[1.5549830999225378],[1.5549956997856498],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,11,8,140,4,590.8758137002587,,590.8628803002648,590.8758137002587,591.8753003003076,591.8753003003076,591.8753003003076,592.2438846002333,space,0.35443999990820885,None,592.2448218003847,592.658775867025,592.9675569003448,592.9531845003366,592.953283500392,592.9675569003448,592.9675569003448,592.9675569003448,593.6946543003432,500,1,[0.7386711002327502],[0.7386890002526343],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,11,9,141,5,593.7092435001396,,593.6960096000694,593.7092435001396,594.7090595001355,594.7090595001355,594.7090595001355,595.0108782001771,space,0.2938652001321316,None,595.0116756004281,595.7256335667955,596.0409433003515,596.0239283000119,596.0239851004444,596.0409433003515,596.0409433003515,596.0409433003515,598.9116046000272,800,1,[2.8837234997190535],[2.8837374998256564],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,400,unexp,11,10,142,0,598.9258119002916,,598.9135239003226,598.9258119002916,599.9256535000168,599.9256535000168,599.9256535000168,600.0944847003557,space,0.1539373998530209,None,600.0954341003671,600.2086143671224,600.5189221003093,600.5036884001456,600.5037357001565,600.5189221003093,600.5189221003093,600.5189221003093,601.4941136003472,600,1,[0.9873661999590695],[0.9873786000534892],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,11,11,143,7,601.5091793001629,,601.496078400407,601.5091793001629,602.509025500156,602.509025500156,602.509025500156,604.1107584000565,space,1.5843934998847544,None,604.1117174001411,604.5254269666659,604.8608606001362,604.8415624001063,604.8416053000838,604.8608606001362,604.8608606001362,604.8608606001362,605.8781501003541,300,1,[1.0333734001033008],[1.0333967003971338],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,400,unexp,12,0,144,1,605.8922108002007,,605.8800782002509,605.8922108002007,606.8919223002158,606.8919223002158,606.8919223002158,607.8265943001024,space,0.9201336000114679,None,607.8273792001419,608.2420462668563,608.5497275004163,608.5336640002206,608.5337167000398,608.5497275004163,608.5497275004163,608.5497275004163,610.5104477000423,200,1,[1.9741702997125685],[1.9741849000565708],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,12,1,145,4,610.5253387000412,,610.5119306002744,610.5253387000412,611.5252808001824,611.5252808001824,611.5252808001824,611.9104290003888,space,0.3743557999841869,None,611.9113272000104,612.3249857668454,612.6385959000327,612.6234860001132,612.6235362002626,612.6385959000327,612.6385959000327,612.6385959000327,613.6265930002555,100,1,[1.0004649995826185],[1.0004815999418497],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,12,2,146,9,613.6417085002176,,613.6286341003142,613.6417085002176,614.6419229004532,614.6419229004532,614.6419229004532,614.7270414000377,space,None,None,614.7280302001163,614.8417436667407,615.148581800051,615.1336335004307,615.1336739002727,615.148581800051,615.148581800051,615.148581800051,616.0266743004322,100,1,[0.8906629998236895],[0.8906768998131156],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
